RowID,OMO,StatusOverride,WorkflowStatus,FieldOutcome,RefusalDate,NoAccessFirstAttemptAt,SecondAttemptAvailableAt,NoAccessSecondAttemptAt,VerifiedByOthersDate,ActualWorkStartDate,ActualWorkCompletionDate,WorkStartDateOverride,WorkCompletionDateOverride,ArchivedFromMap,UpdatedAt
"EQ12695|70 PARK AVENUE, 10302||",,,,,,,,,,,,,,,
"EQ12692|40 WELLINGTON COURT, 10314||",,,,,,,,,,,,,,,
"EQ12813|62 HANSON PLACE, 11217||",,,,,,,,,,,,,,,
"EQ12077|465 LENOX AVENUE, 10037||OUMOURATOU ABDOULAYA ERP REPAIRS",,,,,,,,,,,,,,,
"EQ10030|87 HAMILTON PLACE, 10031||MAYA SANCHEZ ERP REPAIRS",,,,,,,,,,,,,,,
"EQ11412|110 MT HOPE PLACE, 10453||LETICIA SANCHEZ ERP REPAIRS",,,,,,,,,,,,,,,
"EQ11473|322 PLEASANT AVENUE, 10035||T",,,,,,,,,,,,,,,
"EQ12347|270 EAST BURNSIDE AVENUE, 10457||T",,Work Completed,,,,,,,,,,2025-12-04,2025-12-04,,
"EQ12904|2364 TIEBOUT AVENUE, 10458||T",,Refused Access,,,,,,,,,,,,,
"EQ08115|2243 2 AVENUE, 10029||T",,,,,,,,,,,,2025-11-25,2025-11-25,,
"EQ12985|638 EAST 223 STREET, 10466||John Doe",,Work Completed,,,,,,,,,,2026-02-17,2026-02-17,,
"EQ11128|324 IRVING AVENUE, 11237||T",,,,,,,,,,,,,,,
"EQ13174|705 SCHENCK AVENUE, 11207||T",,No Access - 1st Attempt,,,,,,,,,,,,,
"EQ12393|3556 WEBSTER AVENUE, 10467||T",,No Access - 1st Attempt,,,,,,,,,,,,,
"EQ13270|774 ROCKAWAY AVENUE, 11212||T",,Work Completed,,,,,,,,,,2025-12-10,2025-12-10,,
"EQ13297|479 HARMAN STREET, 11237||T",,Refused Access,,,,,,,,,,,,,
"EQ14310|16-66 BELL BOULEVARD, 11360||John Doe",,Refused Access,,,,,,,,,,,,,
"EQ14317|130 WILLIS AVENUE, 10454||John Doe",,Refused Access,,,,,,,,,,,,,
"EQ12029|1246 SHAKESPEARE AVENUE, 10452||John Doe",,Refused Access,,,,,,,,,,,,,
"EQ14156|1170 GERARD AVENUE, 10452||John Doe",,Work Completed,,,,,,,,,,2025-12-13,2025-12-13,,
"EQ13215|303 EAST 158 STREET, 10451||T",,Refused Access,,,,,,,,,,,,,
"EQ13710|320 EAST 159 STREET, 10451||T",,Work Completed by Other,,,,,,,,,,,,,
"EQ10503|1201 65 STREET, 11219||T",,No Access - 2nd Attempt,,,,,,,,,,,,,
"EQ14088|206 AUDUBON AVENUE, 10033||John Doe",,Work Completed by Other,,,,,,,,,,,,,
"EQ14427|1530 ST NICHOLAS AVENUE, 10033||John Doe",,Work Completed,,,,,,,,,,2025-12-16,2025-12-16,,
