OMO,Address,COAFile,RecoveredITBFile,RecoveredITBPath
"EQ00530","909 SHERIDAN AVENUE, 10451","EQ00530_121525113450.pdf","EQ00530_121225093242.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ00530_121225093242.pdf"
"EQ06352","698 AMSTERDAM AVENUE, 10025","EQ06352_122625123940.pdf","EQ06352_122425105414.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ06352_122425105414.pdf"
"EQ12814","212 GREEN STREET, 11222","EQ12814_120525125106.pdf","EQ12814_120425103558.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ12814_120425103558.pdf"
"EQ12897","81 SOUTH 9 STREET, 11249","EQ12897_121325081413.pdf","EQ12897_120925041515.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ12897_120925041515.pdf"
"EQ13112","1750 GRAND CONCOURSE, 10457","EQ13112_112825052418.pdf","EQ13112_112525104814.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13112_112525104814.pdf"
"EQ13174","705 SCHENCK AVENUE, 11207","EQ13174_112625040716.pdf","EQ13174_112525010104.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13174_112525010104.pdf"
"EQ13215","303 EAST 158 STREET, 10451","EQ13215_120925030858.pdf","EQ13215_120525110035.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13215_120525110035.pdf"
"EQ13270","774 ROCKAWAY AVENUE, 11212","EQ13270_120125125816.pdf","EQ13270_112625023620.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13270_112625023620.pdf"
"EQ13297","479 HARMAN STREET, 11237","EQ13297_120225051156.pdf","EQ13297_112625020712.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13297_112625020712.pdf"
"EQ13366","850 EAST 165 STREET, 10459","EQ13366_122225050347.pdf","EQ13366_121725051336.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13366_121725051336.pdf"
"EQ13404","1505 BROADWAY, 11221","EQ13404_120825041903.pdf","EQ13404_120525041204.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13404_120525041204.pdf"
"EQ13475","2225 5 AVENUE, 10037","EQ13475_120825024057.pdf","EQ13475_120525102603.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13475_120525102603.pdf"
"EQ13770","971 ST MARKS AVENUE, 11213","EQ13770_121225013208.pdf","EQ13770_121025032629.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13770_121025032629.pdf"
