OMO,BuildingAddress,AwardDate,WorkStartDate,WorkCompletionDate,COAFile,ITBFile,MissingITBReason,ITBMatchStatus,StatusOverride,Status
"EQ15489","395 MAPLE STREET, 11225","01/05/26","1/5/26","1/15/26","EQ15489_010526045104.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15719","503 WEST 158 STREET, 10032","01/05/26","1/6/26","1/18/26","EQ15719_010526044109.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14157","2070 VYSE AVENUE, 10460","01/05/26","1/6/26","1/12/26","EQ14157_010526041305.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15750","1252 EAST 53 STREET, 11234","01/05/26","1/7/26","1/17/26","EQ15750_010526040421.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15085","1711 EAST 15 STREET, 11229","01/05/26","1/5/26","1/25/26","EQ15085_010526035829.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15488","1360 NEW YORK AVENUE, 11210","01/05/26","1/5/26","1/15/26","EQ15488_010526033551.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15340","541 WEST 204 STREET, 10034","01/05/26","1/6/26","1/14/26","EQ15340_010526011610.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15334","2011 AMSTERDAM AVENUE, 10032","01/03/26","1/2/26","1/20/26","EQ15334_010326061257.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15088","589 VAN NEST AVENUE, 10460","01/03/26","1/2/26","1/20/26","EQ15088_010326060940.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15766","263 14 STREET, 11215","01/03/26","1/2/26","1/30/26","EQ15766_010326060312.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14952","15 WESTMINSTER ROAD, 11218","12/29/25","12/29/25","1/9/26","EQ14952_122925034157.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15218","143-45 SANFORD AVENUE, 11355","12/29/25","12/29/25","1/12/26","EQ15218_122925011315.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15260","655 MORRIS AVENUE, 10451","12/27/25","12/24/25","1/15/26","EQ15260_122725061425.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15356","3044 WALLACE AVENUE, 10467","12/27/25","12/26/25","1/20/26","EQ15356_122725060408.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14519","2265 OLINVILLE AVENUE, 10467","12/27/25","12/26/25","1/20/26","EQ14519_122725053606.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15398","389 CHAUNCEY STREET, 11233","12/26/25","12/26/25","1/6/26","EQ15398_122625054715.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14614","86-02 FOREST PARKWAY, 11421","12/26/25","12/26/25","1/6/26","EQ14614_122625054516.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ06352","698 AMSTERDAM AVENUE, 10025","12/26/25","12/27/25","1/7/26","EQ06352_122625123940.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14942","1091 WILLMOHR STREET, 11212","12/26/25","12/27/25","1/7/26","EQ14942_122625120621.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14837","345 BAY RIDGE PARKWAY, 11209","12/26/25","12/27/25","1/7/26","EQ14837_122625115333.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13366","850 EAST 165 STREET, 10459","12/22/25","12/23/25","1/5/26","EQ13366_122225050347.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14002","34-32 91 STREET, 11372","12/22/25","12/11/25","12/30/25","EQ14002_122225103739.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13991","570 WILLOUGHBY AVENUE, 11206","12/17/25","12/18/25","12/30/25","EQ13991_121725125218.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","12/16/25","12/15/25","12/29/25","EQ13983_121625104211.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13963","2950 GRAND CONCOURSE, 10458","12/16/25","12/10/25","12/20/25","EQ13963_121625103203.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14050","64-05 WOODSIDE AVENUE, 11377","12/15/25","12/16/25","12/29/25","EQ14050_121525043342.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14109","368 EAST 155 STREET, 10455","12/15/25","12/16/25","12/22/25","EQ14109_121525042804.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14625","1411 NEW YORK AVENUE, 11210","12/15/25","12/15/25","12/26/25","EQ14625_121525035951.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14088","206 AUDUBON AVENUE, 10033","12/15/25","12/16/25","12/26/25","EQ14088_121525031548.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13795","531 EAST 22 STREET, 11226","12/15/25","12/16/25","12/23/25","EQ13795_121525031258.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14427","1530 ST NICHOLAS AVENUE, 10033","12/15/25","12/15/25","12/26/25","EQ14427_121525030802.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14351","234 WEST 135 STREET, 10030","12/15/25","12/16/25","12/24/25","EQ14351_121525122451.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ00530","909 SHERIDAN AVENUE, 10451","12/15/25","12/16/25","12/25/25","EQ00530_121525113450.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14153","33 ARDEN STREET, 10040","12/13/25","12/12/25","12/20/25","EQ14153_121325084557.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14145","67-25 DARTMOUTH STREET, 11375","12/13/25","12/12/25","12/20/25","EQ14145_121325082514.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14414","330 EAST 100 STREET, 10029","12/13/25","12/15/25","12/22/25","EQ14414_121325081600.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ12897","81 SOUTH 9 STREET, 11249","12/13/25","12/15/25","12/22/25","EQ12897_121325081413.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14156","1170 GERARD AVENUE, 10452","12/12/25","12/14/25","12/21/25","EQ14156_121225042107.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13770","971 ST MARKS AVENUE, 11213","12/12/25","12/13/25","12/23/25","EQ13770_121225013208.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14007","95 FOUNTAIN AVENUE, 11208","12/12/25","12/14/25","12/28/25","EQ14007_121225012221.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14187","40 UNIVERSITY PLACE, 10003","12/12/25","12/14/25","12/21/25","EQ14187_121225125241.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ14338","2763 MILL AVENUE, 11234","12/12/25","12/13/25","12/20/25","EQ14338_121225115539.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13215","303 EAST 158 STREET, 10451","12/09/25","12/10/25","12/24/25","EQ13215_120925030858.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13404","1505 BROADWAY, 11221","12/08/25","12/8/25","12/18/25","EQ13404_120825041903.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13475","2225 5 AVENUE, 10037","12/08/25","12/9/25","12/15/25","EQ13475_120825024057.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ17854","1084 NEW YORK AVENUE, 11203","01/29/26","1/30/26","2/13/26","EQ17854_012926111526.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ17241","390 MARYLAND AVENUE, 10305","01/29/26","1/30/26","2/13/26","EQ17241_012926094525.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ17262","708 MANHATTAN AVENUE, 11222","01/27/26","1/23/26","1/31/26","EQ17262_012726013759.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ18038","1353 STERLING PLACE, 11213","01/27/26","1/27/26","2/3/26","EQ18038_012726111834.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ17786","184 BRADHURST AVENUE, 10039","01/26/26","1/24/26","2/4/26","EQ17786_012626110317.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ16592","101-17 115 STREET, 11419","01/15/26","1/16/26","1/23/26","EQ16592_011526110925.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ16619","278 EAST 237 STREET, 10470","01/14/26","1/16/26","1/23/26","EQ16619_011426043109.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ16822","1881 STARR STREET, 11385","01/14/26","1/16/26","1/23/26","EQ16822_011426042615.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ16693","41-08 42 STREET, 11104","01/14/26","1/14/26","1/24/26","EQ16693_011426023824.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15012","361 EAST 163 STREET, 10451","01/13/26","1/14/26","1/23/26","EQ15012_011326052731.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ16892","1274 55 STREET, 11219","01/13/26","1/14/26","1/21/26","EQ16892_011326045343.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ15867","14-20 114 STREET, 11356","01/13/26","1/14/26","1/21/26","EQ15867_011326045118.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ16744","70 AVENUE U, 11223","01/13/26","1/13/26","1/22/26","EQ16744_011326043209.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ16597","178 AMBOY STREET, 11212","01/13/26","1/13/26","2/5/26","EQ16597_011326031757.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ16164","2358 WEBSTER AVENUE, 10458","01/06/26","1/7/26","1/14/26","EQ16164_010626010542.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ12814","212 GREEN STREET, 11222","12/05/25","12/8/25","12/15/25","EQ12814_120525125106.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13297","479 HARMAN STREET, 11237","12/02/25","12/6/25","12/20/25","EQ13297_120225051156.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13270","774 ROCKAWAY AVENUE, 11212","12/01/25","12/2/25","12/8/25","EQ13270_120125125816.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13112","1750 GRAND CONCOURSE, 10457","11/28/25","12/1/25","12/8/25","EQ13112_112825052418.pdf","","No ITB found for this OMO","NO_ITB","",""
"EQ13174","705 SCHENCK AVENUE, 11207","11/26/25","11/26/25","12/3/25","EQ13174_112625040716.pdf","","No ITB found for this OMO","NO_ITB","",""
"EO29204","2970 WEST 27 STREET, 11224","04/10/26","4/23/24","5/1/24","EO29204_041026093104.pdf","","No ITB found for this OMO","NO_ITB","",""
"EO17794","141 MAC DONOUGH STREET, 11216","04/16/26","1/5/24","1/19/24","EO17794_041626112723.pdf","","No ITB found for this OMO","NO_ITB","",""
