OMO,Address,COAFile,PossibleITBMatch,MatchType
"EQ15489","395 MAPLE STREET, 11225","EQ15489_010526045104.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15489_010226100207.pdf","FILENAME_OMO_MATCH"
"EQ15489","395 MAPLE STREET, 11225","EQ15489_010526045104.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15489_010226100207 (1).pdf","FILENAME_OMO_MATCH"
"EQ15489","395 MAPLE STREET, 11225","EQ15489_010526045104.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15489_010526045104.pdf","FILENAME_OMO_MATCH"
"EQ15489","395 MAPLE STREET, 11225","EQ15489_010526045104.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15489_010526045104 (1).pdf","FILENAME_OMO_MATCH"
"EQ15719","503 WEST 158 STREET, 10032","EQ15719_010526044109.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15719_123125044907.pdf","FILENAME_OMO_MATCH"
"EQ15719","503 WEST 158 STREET, 10032","EQ15719_010526044109.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15719_123125044907 (1).pdf","FILENAME_OMO_MATCH"
"EQ15719","503 WEST 158 STREET, 10032","EQ15719_010526044109.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15719_010526044109.pdf","FILENAME_OMO_MATCH"
"EQ15719","503 WEST 158 STREET, 10032","EQ15719_010526044109.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15719_010526044109 (1).pdf","FILENAME_OMO_MATCH"
"EQ14157","2070 VYSE AVENUE, 10460","EQ14157_010526041305.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14157_123025025906.pdf","FILENAME_OMO_MATCH"
"EQ14157","2070 VYSE AVENUE, 10460","EQ14157_010526041305.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ14157_123025025906 (1).pdf","FILENAME_OMO_MATCH"
"EQ14157","2070 VYSE AVENUE, 10460","EQ14157_010526041305.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14157_010526041255.pdf","FILENAME_OMO_MATCH"
"EQ14157","2070 VYSE AVENUE, 10460","EQ14157_010526041305.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14157_010526041305.pdf","FILENAME_OMO_MATCH"
"EQ14157","2070 VYSE AVENUE, 10460","EQ14157_010526041305.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14157_010526041305 (1).pdf","FILENAME_OMO_MATCH"
"EQ14157","2070 VYSE AVENUE, 10460","EQ14157_010526041305.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ14157_010526041255 (1).pdf","FILENAME_OMO_MATCH"
"EQ15750","1252 EAST 53 STREET, 11234","EQ15750_010526040421.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15750_010226033447.pdf","FILENAME_OMO_MATCH"
"EQ15750","1252 EAST 53 STREET, 11234","EQ15750_010526040421.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15750_010226033447 (1).pdf","FILENAME_OMO_MATCH"
"EQ15750","1252 EAST 53 STREET, 11234","EQ15750_010526040421.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15750_010526040421.pdf","FILENAME_OMO_MATCH"
"EQ15750","1252 EAST 53 STREET, 11234","EQ15750_010526040421.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ15750_010526040421 (1).pdf","FILENAME_OMO_MATCH"
"EQ15085","1711 EAST 15 STREET, 11229","EQ15085_010526035829.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ15085_010226033918.pdf","FILENAME_OMO_MATCH"
