RowID,StatusOverride,WorkStartDateOverride,WorkCompletionDateOverride,NoAccessAttempt1Date,NoAccessAttempt2Date,RefusedAccessDate,WorkCompletedByOtherDate,RefusedAccessDescription,StatusUpdatedAt
"EQ12695|70 PARK AVENUE, 10302||",,,,,,,,,
"EQ12692|40 WELLINGTON COURT, 10314||",,,,,,,,,
"EQ12813|62 HANSON PLACE, 11217||",,,,,,,,,
"EQ12077|465 LENOX AVENUE, 10037||OUMOURATOU ABDOULAYA ERP REPAIRS",,,,,,,,,
"EQ10030|87 HAMILTON PLACE, 10031||MAYA SANCHEZ ERP REPAIRS",,,,,,,,,
"EQ11412|110 MT HOPE PLACE, 10453||LETICIA SANCHEZ ERP REPAIRS",,,,,,,,,
"EQ11473|322 PLEASANT AVENUE, 10035||T",,,,,,2025-11-25,,"Male, tall, dark hair",2025-11-26 15:25:33
"EQ12347|270 EAST BURNSIDE AVENUE, 10457||T",Work Completed,2025-12-04,2025-12-04,,,,,,2025-12-06 12:35:47
"EQ12904|2364 TIEBOUT AVENUE, 10458||T",Refused Access,,,,,2025-12-05,,"Female, tall, dark hair",2025-12-06 15:57:18
"EQ08115|2243 2 AVENUE, 10029||T",,2025-11-25,2025-11-25,,,,,,2025-11-26 15:07:20
"EQ12985|638 EAST 223 STREET, 10466||John Doe",Work Completed,2026-02-17,2026-02-17,,,,,,2026-02-17 13:10:34
"EQ11128|324 IRVING AVENUE, 11237||T",,,,,,2025-11-27,,"Male, short, dark hair",2025-11-27 17:52:03
"EQ13174|705 SCHENCK AVENUE, 11207||T",No Access - 1st Attempt,,,2025-11-29,,,,,2025-12-01 14:55:21
"EQ12393|3556 WEBSTER AVENUE, 10467||T",No Access - 1st Attempt,,,2025-12-03,,,,,2025-12-03 12:21:37
"EQ13270|774 ROCKAWAY AVENUE, 11212||T",Work Completed,2025-12-10,2025-12-10,,,,,,2025-12-11 07:05:58
"EQ13297|479 HARMAN STREET, 11237||T",Refused Access,,,,,2025-12-11,,Other / not specified,2025-12-11 07:06:52
"EQ14310|16-66 BELL BOULEVARD, 11360||John Doe",Refused Access,,,,,2025-12-12,,"Male, short, dark hair",2025-12-12 08:56:22
"EQ14317|130 WILLIS AVENUE, 10454||John Doe",Refused Access,,,,,2025-12-13,,"Male, short, dark hair",2025-12-13 11:44:50
"EQ12029|1246 SHAKESPEARE AVENUE, 10452||John Doe",Refused Access,,,,,2025-12-13,,"Male, tall, dark hair",2025-12-13 16:26:28
"EQ14156|1170 GERARD AVENUE, 10452||John Doe",Work Completed,2025-12-13,2025-12-13,,,,,,2025-12-13 16:27:10
"EQ13215|303 EAST 158 STREET, 10451||T",Refused Access,,,,,2025-12-13,,"Male, tall, dark hair",2025-12-14 10:54:17
"EQ13710|320 EAST 159 STREET, 10451||T",Work Completed by Other,,,,,,2025-12-13,,2025-12-14 10:54:50
"EQ10503|1201 65 STREET, 11219||T",No Access - 2nd Attempt,,,2025-11-05,2025-11-13,,,,2025-12-15 11:12:49
